"Week","Date","Gm1","Gm2","Gm3","SS","HCP","HS","Avg<br />Before","Avg<br />After","Todays<br />Avg","+/-<br />Avg"
"1","08/28/2018","200","211","214","625","132","757","181","181","208","27"
"2","09/04/2018","170","184","184","538","132","670","181","181","179","-2"
"3","09/11/2018","179","181","195","555","132","687","181","190","185","4"
"4","09/18/2018","137","176","211","524","108","632","190","186","174","-16"
"5","09/25/2018","174","148","178","500","117","617","186","182","166","-20"
"6","10/02/2018","171","175","165","511","129","640","182","180","170","-12"
"7","10/09/2018","169","160","188","517","135","652","180","179","172","-8"
"8","10/16/2018","212","218","161","591","135","726","179","181","197","18"
"9","10/23/2018","202","183","194","579","132","711","181","182","193","12"
"10","10/30/2018","165","200","157","522","129","651","182","182","174","-8"
"11","11/06/2018","168","159","184","511","129","640","182","181","170","-12"
"12","11/13/2018","165","233","187","585","132","717","181","182","195","14"
"13","11/20/2018","135","213","161","509","129","638","182","181","169","-13"
"14","11/27/2018","171","171","171","0","645","0","181","181","0","0"
"15","12/04/2018","224","168","150","542","132","674","181","181","180","-1"
"16","12/11/2018","223","220","175","618","132","750","181","182","206","25"
"17","12/18/2018","202","159","141","502","129","631","182","181","167","-15"
"18","01/08/2019","174","183","115","472","132","604","181","180","157","-24"
"19","01/15/2019","145","203","190","538","135","673","180","180","179","-1"
"20","01/22/2019","201","181","206","588","135","723","180","181","196","16"
"21","01/29/2019","153","189","159","501","132","633","181","180","167","-14"
"22","02/05/2019","188","166","171","525","135","660","180","180","175","-5"
"23","02/12/2019","213","145","201","559","135","694","180","180","186","6"
"24","02/19/2019","216","184","194","594","135","729","180","181","198","18"
"25","02/26/2019","212","193","205","610","132","742","181","182","203","22"
"26","03/05/2019","182","165","158","505","129","634","182","181","168","-14"
"27","03/12/2019","220","138","214","572","132","704","181","181","190","9"
"28","03/19/2019","148","147","233","528","132","660","181","181","176","-5"
"29","03/26/2019","161","153","153","467","132","599","181","180","155","-26"
"30","04/02/2019","213","160","191","564","135","699","180","181","188","8"
"31","04/09/2019","235","223","187","645","132","777","181","182","215","34"
"32","04/16/2019","153","214","221","588","129","717","182","182","196","14"
"33","04/23/2019","145","190","172","507","129","636","182","182","169","-13"
"34","04/30/2019","123","212","220","555","129","684","182","182","185","3"
"35","05/07/2019","207","160","163","530","129","659","182","182","176","-6"
