"Week","Date","Gm1","Gm2","Gm3","SS","HCP","HS","Avg<br />Before","Avg<br />After","Todays<br />Avg","+/-<br />Avg"
"1","09/15/2020","214","196","246","656","81","737","200","200","218","18"
"2","09/22/2020","177","183","213","573","81","654","200","200","191","-9"
"3","09/29/2020","173","172","202","547","81","628","200","197","182","-18"
"4","10/06/2020","269","174","194","637","87","724","197","201","212","15"
"5","10/13/2020","191","191","191","0","651","0","201","201","0","0"
"6","10/20/2020","238","192","214","644","78","722","201","203","214","13"
"7","10/27/2020","204","190","159","553","72","625","203","200","184","-19"
"8","11/03/2020","208","176","221","605","81","686","200","200","201","1"
"9","11/10/2020","168","169","157","494","81","575","200","196","164","-36"
"10","11/17/2020","247","237","180","664","90","754","196","199","221","25"
"11","11/24/2020","235","166","161","562","81","643","199","197","187","-12"
"12","12/01/2020","223","192","209","624","87","711","197","198","208","11"
"13","12/08/2020","188","231","183","602","84","686","198","198","200","2"
"14","12/15/2020","242","155","203","600","84","684","198","199","200","2"
"15","12/22/2020","147","179","156","482","81","563","199","196","160","-39"
"16","12/29/2020","169","243","148","560","90","650","196","195","186","-10"
"17","01/05/2021","168","161","195","524","93","617","195","194","174","-21"
"18","01/12/2021","215","193","163","571","96","667","194","194","190","-4"
"19","01/19/2021","177","234","134","545","96","641","194","193","181","-13"
"20","01/26/2021","216","179","215","610","99","709","193","193","203","10"
"21","02/02/2021","203","180","167","550","99","649","193","193","183","-10"
"22","02/09/2021","191","181","197","569","99","668","193","193","189","-4"
"23","02/16/2021","212","197","224","633","99","732","193","194","211","18"
"24","02/23/2021","204","217","183","604","96","700","194","194","201","7"
"25","03/02/2021","170","161","167","498","96","594","194","193","166","-28"
"26","03/09/2021","203","188","193","584","99","683","193","193","194","1"
"27","03/16/2021","184","193","161","538","99","637","193","192","179","-14"
"28","03/23/2021","170","188","167","525","102","627","192","192","175","-17"
"29","03/30/2021","169","173","160","502","102","604","192","191","167","-25"
"30","04/06/2021","220","188","168","576","105","681","191","191","192","1"
"31","04/13/2021","198","191","186","575","105","680","191","191","191","0"
"32","04/20/2021","137","202","204","543","105","648","191","190","181","-10"
"33","04/27/2021","210","240","150","600","108","708","190","191","200","10"
"34","05/04/2021","175","216","225","616","105","721","191","191","205","14"
"35","05/11/2021","170","180","202","552","105","657","191","191","184","-7"
"36","05/18/2021","210","226","204","640","105","745","191","191","213","22"
