"Week","Date","Gm1","Gm2","Gm3","SS","HCP","HS","Avg<br />Before","Avg<br />After","Todays<br />Avg","+/-<br />Avg"
"1","08/17/2020","178","180","191","549","102","651","182","182","183","1"
"2","08/24/2020","173","175","148","496","102","598","182","182","165","-17"
"3","08/31/2020","222","202","150","574","102","676","182","179","191","9"
"4","09/14/2020","186","174","184","544","108","652","179","180","181","2"
"5","09/21/2020","141","237","179","557","108","665","180","181","185","5"
"6","09/28/2020","216","233","191","640","105","745","181","186","213","32"
"7","10/05/2020","189","193","225","607","90","697","186","188","202","16"
"8","10/12/2020","178","178","178","0","618","0","188","188","0","0"
"9","10/19/2020","146","226","155","527","84","611","188","187","175","-13"
"10","10/26/2020","206","217","181","604","87","691","187","188","201","14"
"11","11/02/2020","189","198","154","541","84","625","188","187","180","-8"
"12","11/09/2020","233","243","244","720","87","807","187","192","240","53"
"13","11/16/2020","197","196","139","532","75","607","192","191","177","-15"
"14","11/23/2020","161","176","173","510","78","588","191","189","170","-21"
"15","11/30/2020","181","148","216","545","81","626","189","189","181","-8"
"16","12/07/2020","160","172","236","568","81","649","189","189","189","0"
"17","01/04/2021","190","198","202","590","81","671","189","189","196","7"
"18","01/11/2021","201","146","204","551","81","632","189","189","183","-6"
"19","01/18/2021","168","195","212","575","81","656","189","189","191","2"
"20","01/25/2021","174","173","160","507","81","588","189","188","169","-20"
"21","02/01/2021","185","210","171","566","84","650","188","188","188","0"
"22","02/08/2021","167","217","166","550","84","634","188","188","183","-5"
"23","02/15/2021","183","163","202","548","84","632","188","187","182","-6"
"24","02/22/2021","237","151","200","588","87","675","187","188","196","9"
"25","03/01/2021","159","184","279","622","84","706","188","189","207","19"
"26","03/08/2021","145","128","179","452","81","533","189","187","150","-39"
"28","03/22/2021","183","171","155","509","87","596","187","186","169","-18"
"29","03/29/2021","194","178","141","513","90","603","186","185","171","-15"
"30","04/05/2021","208","154","198","560","93","653","185","185","186","1"
"31","04/12/2021","172","202","143","517","93","610","185","185","172","-13"
"32","04/19/2021","172","174","222","568","93","661","185","185","189","4"
"34","05/03/2021","234","213","193","640","93","733","185","186","213","28"
